id,product_tmpl_id:id,attribute_id:id,value_ids:id
1_60_schneider_product_attribute_cyl,1_60_schneider,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0,optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_+_0__25,optic_product_matrix.cyl_+_0__5,optic_product_matrix.cyl_+_0__75,optic_product_matrix.cyl_+_1__0,optic_product_matrix.cyl_+_1__25,optic_product_matrix.cyl_+_1__5,optic_product_matrix.cyl_+_1__75,optic_product_matrix.cyl_+_2__0,optic_product_matrix.cyl_+_0__0"
1_67_neo_product_attribute_cyl,1_67_neo,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0"
1_67_schneider_product_attribute_cyl,1_67_schneider,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0"
1_67_uv420_smart_product_attribute_cyl,1_67_uv420_smart,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0"
1_74_falcon_product_attribute_cyl,1_74_falcon,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0"
atteeh_super_hydrophobic_champion_product_attribute_cyl,atteeh_super_hydrophobic_champion,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0,optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_+_0__25,optic_product_matrix.cyl_+_0__5,optic_product_matrix.cyl_+_0__75,optic_product_matrix.cyl_+_1__0,optic_product_matrix.cyl_+_1__25,optic_product_matrix.cyl_+_1__5,optic_product_matrix.cyl_+_1__75,optic_product_matrix.cyl_+_2__0,optic_product_matrix.cyl_+_0__0"
blue_cut_falcon_product_attribute_cyl,blue_cut_falcon,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0,optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_+_0__25,optic_product_matrix.cyl_+_0__5,optic_product_matrix.cyl_+_0__75,optic_product_matrix.cyl_+_1__0,optic_product_matrix.cyl_+_1__25,optic_product_matrix.cyl_+_1__5,optic_product_matrix.cyl_+_1__75,optic_product_matrix.cyl_+_2__0,optic_product_matrix.cyl_+_0__0"
blue_cut_neo_product_attribute_cyl,blue_cut_neo,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0,optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_+_0__25,optic_product_matrix.cyl_+_0__5,optic_product_matrix.cyl_+_0__75,optic_product_matrix.cyl_+_1__0,optic_product_matrix.cyl_+_1__25,optic_product_matrix.cyl_+_1__5,optic_product_matrix.cyl_+_1__75,optic_product_matrix.cyl_+_2__0,optic_product_matrix.cyl_+_0__0"
blue_cut_sky_product_attribute_cyl,blue_cut_sky,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0,optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_+_0__25,optic_product_matrix.cyl_+_0__5,optic_product_matrix.cyl_+_0__75,optic_product_matrix.cyl_+_1__0,optic_product_matrix.cyl_+_1__25,optic_product_matrix.cyl_+_1__5,optic_product_matrix.cyl_+_1__75,optic_product_matrix.cyl_+_2__0,optic_product_matrix.cyl_+_2__25,optic_product_matrix.cyl_+_2__5,optic_product_matrix.cyl_+_2__75,optic_product_matrix.cyl_+_3__0,optic_product_matrix.cyl_+_3__25,optic_product_matrix.cyl_+_3__5,optic_product_matrix.cyl_+_3__75,optic_product_matrix.cyl_+_4__0,optic_product_matrix.cyl_+_0__0"
bluecut_champion_product_attribute_cyl,bluecut_champion,optic_product_matrix.product_attribute_cyl,"optic_product_matrix.cyl_-_0__0,optic_product_matrix.cyl_-_0__25,optic_product_matrix.cyl_-_0__5,optic_product_matrix.cyl_-_0__75,optic_product_matrix.cyl_-_1__0,optic_product_matrix.cyl_-_1__25,optic_product_matrix.cyl_-_1__5,optic_product_matrix.cyl_-_1__75,optic_product_matrix.cyl_-_2__0,optic_product_matrix.cyl_-_2__25,optic_product_matrix.cyl_-_2__5,optic_product_matrix.cyl_-_2__75,optic_product_matrix.cyl_-_3__0,optic_product_matrix.cyl_-_3__25,optic_product_matrix.cyl_-_3__5,optic_product_matrix.cyl_-_3__75,optic_product_matrix.cyl_-_4__0,optic_product_matrix.cyl_+_0__25,optic_product_matrix.cyl_+_0__5,optic_product_matrix.cyl_+_0__75,optic_product_matrix.cyl_+_1__0,optic_product_matrix.cyl_+_1__25,optic_product_matrix.cyl_+_1__5,optic_product_matrix.cyl_+_1__75,optic_product_matrix.cyl_+_2__0,optic_product_matrix.cyl_+_0__0"
